"drink_id","beverage","calories","fat_tot","carbohydrates_tot","sugar","proteins"
30,"Vanilla Latte (Or Other Flavoured Latte) (2% Milk)",130,3.5,80,17,6
31,"Vanilla Latte (Or Other Flavoured Latte) (Soymilk)",110,2.5,60,13,5
32,"Vanilla Latte (Or Other Flavoured Latte) (Tall Nonfat Milk)",150,0.2,110,27,9
33,"Vanilla Latte (Or Other Flavoured Latte) (2% Milk)",200,5,125,27,9
34,"Vanilla Latte (Or Other Flavoured Latte) (Soymilk)",160,4,95,20,7
35,"Vanilla Latte (Or Other Flavoured Latte) (Grande Nonfat Milk)",200,0.3,140,35,12
36,"Vanilla Latte (Or Other Flavoured Latte) (2% Milk)",250,6,150,35,12
37,"Vanilla Latte (Or Other Flavoured Latte) (Soymilk)",210,5,120,26,9
38,"Vanilla Latte (Or Other Flavoured Latte) (Venti Nonfat Milk)",250,0.3,180,45,15
39,"Vanilla Latte (Or Other Flavoured Latte) (2% Milk)",320,9,200,44,15
40,"Vanilla Latte (Or Other Flavoured Latte) (Soymilk)",270,7,160,33,12
41,"Caffè Americano (Short)",5,0,5,0,0.4
42,"Caffè Americano (Tall)",10,0,10,0,1
43,"Caffè Americano (Grande)",15,0,15,0,1
44,"Caffè Americano (Venti)",25,0,15,0,1
45,"Cappuccino (Short Nonfat Milk)",50,0.1,60,7,5
46,"Cappuccino (2% Milk)",80,3,70,7,5
47,"Cappuccino (Soymilk)",50,1.5,40,3,3
48,"Cappuccino (Tall Nonfat Milk)",60,0.1,70,8,6
49,"Cappuccino (2% Milk)",90,3.5,80,8,6
50,"Cappuccino (Soymilk)",70,3,65,4,5
51,"Cappuccino (Grande Nonfat Milk)",80,0.2,90,10,8
52,"Cappuccino (2% Milk)",120,4,100,10,8
53,"Cappuccino (Soymilk)",100,3.5,80,5,7
54,"Cappuccino (Venti Nonfat Milk)",110,0.2,120,14,10
55,"Cappuccino (2% Milk)",150,6,135,14,10
56,"Cappuccino (Soymilk)",120,4.5,110,7,9
57,"Espresso (Solo)",5,0,0,0,0.4
58,"Espresso (Doppio)",10,0,1,0,1
59,"Skinny Latte (Any Flavour) (Short Nonfat Milk)",60,0.1,80,8,6
60,"Skinny Latte (Any Flavour) (Tall Nonfat Milk)",100,0.2,125,13,9
61,"Skinny Latte (Any Flavour) (Grande Nonfat Milk)",120,0.3,160,16,12
62,"Skinny Latte (Any Flavour) (Venti Nonfat Milk)",160,0.3,200,21,15
63,"Caramel Macchiato (Short Nonfat Milk)",100,1,70,15,6
64,"Caramel Macchiato (2% Milk)",120,4,80,15,5
65,"Caramel Macchiato (Soymilk)",100,3,60,11,4
66,"Caramel Macchiato (Tall Nonfat Milk)",140,1,105,24,8
67,"Caramel Macchiato (2% Milk)",180,5,115,23,8
68,"Caramel Macchiato (Soymilk)",150,4.5,90,17,7
69,"Caramel Macchiato (Grande Nonfat Milk)",190,1,130,32,11
70,"Caramel Macchiato (2% Milk)",240,7,150,32,10
71,"Caramel Macchiato (Soymilk)",200,5,115,24,9
72,"Caramel Macchiato (Venti Nonfat Milk)",240,1,170,41,13
73,"Caramel Macchiato (2% Milk)",300,8,180,40,13
74,"Caramel Macchiato (Soymilk)",250,7,140,31,11
75,"White Chocolate Mocha (Without Whipped Cream) (Short Nonfat Milk)",180,3,120,29,7
76,"White Chocolate Mocha (Without Whipped Cream) (2% Milk)",200,6,125,29,7
77,"White Chocolate Mocha (Without Whipped Cream) (Soymilk)",180,5,110,25,6
78,"White Chocolate Mocha (Without Whipped Cream) (Tall Nonfat Milk)",270,4.5,190,45,12
79,"White Chocolate Mocha (Without Whipped Cream) (2% Milk)",310,9,200,44,11
80,"White Chocolate Mocha (Without Whipped Cream) (Soymilk)",280,8,170,39,10
81,"White Chocolate Mocha (Without Whipped Cream) (Grande Nonfat Milk)",350,6,240,58,15
82,"White Chocolate Mocha (Without Whipped Cream) (2% Milk)",400,11,250,58,15
83,"White Chocolate Mocha (Without Whipped Cream) (Soymilk)",370,10,220,51,13
84,"White Chocolate Mocha (Without Whipped Cream) (Venti Nonfat Milk)",450,7,310,74,19
85,"White Chocolate Mocha (Without Whipped Cream) (2% Milk)",510,15,330,74,19
86,"White Chocolate Mocha (Without Whipped Cream) (Soymilk)",460,13,290,64,16
87,"Hot Chocolate (Without Whipped Cream) (Short Nonfat Milk)",130,1.5,70,23,7
88,"Hot Chocolate (Without Whipped Cream) (2% Milk)",150,4.5,80,22,7
89,"Hot Chocolate (Without Whipped Cream) (Soymilk)",130,3.5,60,18,6
90,"Hot Chocolate (Without Whipped Cream) (Tall Nonfat Milk)",190,2,110,32,11
91,"Hot Chocolate (Without Whipped Cream) (2% Milk)",230,7,120,32,10
92,"Hot Chocolate (Without Whipped Cream) (Soymilk)",200,6,95,25,9
